: mse-abbreviations
lc;liquid crystal;sem;scanning electron microscopy
liquid crystal;lc;scanning electron microscopy;sem
lc;liquid crystal;tem;transmission electron microscopy
liquid crystal;lc;transmission electron microscopy;tem
lc;liquid crystal;nlc;nematic liquid crystal
liquid crystal;lc;nematic liquid crystal;nlc
lc;liquid crystal;clc;cholesteric liquid crystal
liquid crystal;lc;cholesteric liquid crystal;clc
lc;liquid crystal;ms;mass spectroscopy
liquid crystal;lc;mass spectroscopy;ms
lc;liquid crystal;dft;density functional theory
liquid crystal;lc;density functional theory;dft
lc;liquid crystal;kmc;kinetic monte carlo
liquid crystal;lc;kinetic monte carlo;kmc
lc;liquid crystal;gc;gas chromatography
liquid crystal;lc;gas chromatography;gc
lc;liquid crystal;lda;local density approximation
liquid crystal;lc;local density approximation;lda
lc;liquid crystal;gga;generalized gradient approximation
liquid crystal;lc;generalized gradient approximation;gga
lc;liquid crystal;md;molecular dynamics
liquid crystal;lc;molecular dynamics;md
lc;liquid crystal;sls;static light scattering
liquid crystal;lc;static light scattering;sls
lc;liquid crystal;dls;dynamic light scattering
liquid crystal;lc;dynamic light scattering;dls
lc;liquid crystal;xps;x-ray photoelectron spectroscopy
liquid crystal;lc;x-ray photoelectron spectroscopy;xps
lc;liquid crystal;edx;energy dispersive x-ray spectroscopy
liquid crystal;lc;energy dispersive x-ray spectroscopy;edx
lc;liquid crystal;saxs;small-angle x-ray scattering
liquid crystal;lc;small-angle x-ray scattering;saxs
lc;liquid crystal;waxs;wide-angle x-ray scattering
liquid crystal;lc;wide-angle x-ray scattering;waxs
lc;liquid crystal;waxd;wide-angle x-ray diffraction
liquid crystal;lc;wide-angle x-ray diffraction;waxd
lc;liquid crystal;xrd;x-ray diffraction
liquid crystal;lc;x-ray diffraction;xrd
lc;liquid crystal;pals;positron annihilation lifetime spectroscopy
liquid crystal;lc;positron annihilation lifetime spectroscopy;pals
lc;liquid crystal;tddft;time-dependent density functional theory
liquid crystal;lc;time-dependent density functional theory;tddft
lc;liquid crystal;hplc;high performance liquid chromatography
liquid crystal;lc;high performance liquid chromatography;hplc
lc;liquid crystal;pdi;polydispersity index
liquid crystal;lc;polydispersity index;pdi
lc;liquid crystal;tg;glass transition temperature
liquid crystal;lc;glass transition temperature;tg
lc;liquid crystal;tm;melting temperature
liquid crystal;lc;melting temperature;tm
lc;liquid crystal;tc;crystallization temperature
liquid crystal;lc;crystallization temperature;tc
lc;liquid crystal;fib;focused ion beam
liquid crystal;lc;focused ion beam;fib
lc;liquid crystal;ea;activation energy
liquid crystal;lc;activation energy;ea
lc;liquid crystal;ip;ionization potential
liquid crystal;lc;ionization potential;ip
lc;liquid crystal;icp;inductively coupled plasma
liquid crystal;lc;inductively coupled plasma;icp
lc;liquid crystal;oes;optical emission spectroscopy
liquid crystal;lc;optical emission spectroscopy;oes
lc;liquid crystal;xrf;x-ray fluorescence
liquid crystal;lc;x-ray fluorescence;xrf
lc;liquid crystal;epma;electron probe microanalysis
liquid crystal;lc;electron probe microanalysis;epma
sem;scanning electron microscopy;tem;transmission electron microscopy
scanning electron microscopy;sem;transmission electron microscopy;tem
sem;scanning electron microscopy;nlc;nematic liquid crystal
scanning electron microscopy;sem;nematic liquid crystal;nlc
sem;scanning electron microscopy;clc;cholesteric liquid crystal
scanning electron microscopy;sem;cholesteric liquid crystal;clc
sem;scanning electron microscopy;ms;mass spectroscopy
scanning electron microscopy;sem;mass spectroscopy;ms
sem;scanning electron microscopy;dft;density functional theory
scanning electron microscopy;sem;density functional theory;dft
sem;scanning electron microscopy;kmc;kinetic monte carlo
scanning electron microscopy;sem;kinetic monte carlo;kmc
sem;scanning electron microscopy;gc;gas chromatography
scanning electron microscopy;sem;gas chromatography;gc
sem;scanning electron microscopy;lda;local density approximation
scanning electron microscopy;sem;local density approximation;lda
sem;scanning electron microscopy;gga;generalized gradient approximation
scanning electron microscopy;sem;generalized gradient approximation;gga
sem;scanning electron microscopy;md;molecular dynamics
scanning electron microscopy;sem;molecular dynamics;md
sem;scanning electron microscopy;sls;static light scattering
scanning electron microscopy;sem;static light scattering;sls
sem;scanning electron microscopy;dls;dynamic light scattering
scanning electron microscopy;sem;dynamic light scattering;dls
sem;scanning electron microscopy;xps;x-ray photoelectron spectroscopy
scanning electron microscopy;sem;x-ray photoelectron spectroscopy;xps
sem;scanning electron microscopy;edx;energy dispersive x-ray spectroscopy
scanning electron microscopy;sem;energy dispersive x-ray spectroscopy;edx
sem;scanning electron microscopy;saxs;small-angle x-ray scattering
scanning electron microscopy;sem;small-angle x-ray scattering;saxs
sem;scanning electron microscopy;waxs;wide-angle x-ray scattering
scanning electron microscopy;sem;wide-angle x-ray scattering;waxs
sem;scanning electron microscopy;waxd;wide-angle x-ray diffraction
scanning electron microscopy;sem;wide-angle x-ray diffraction;waxd
sem;scanning electron microscopy;xrd;x-ray diffraction
scanning electron microscopy;sem;x-ray diffraction;xrd
sem;scanning electron microscopy;pals;positron annihilation lifetime spectroscopy
scanning electron microscopy;sem;positron annihilation lifetime spectroscopy;pals
sem;scanning electron microscopy;tddft;time-dependent density functional theory
scanning electron microscopy;sem;time-dependent density functional theory;tddft
sem;scanning electron microscopy;hplc;high performance liquid chromatography
scanning electron microscopy;sem;high performance liquid chromatography;hplc
sem;scanning electron microscopy;pdi;polydispersity index
scanning electron microscopy;sem;polydispersity index;pdi
sem;scanning electron microscopy;tg;glass transition temperature
scanning electron microscopy;sem;glass transition temperature;tg
sem;scanning electron microscopy;tm;melting temperature
scanning electron microscopy;sem;melting temperature;tm
sem;scanning electron microscopy;tc;crystallization temperature
scanning electron microscopy;sem;crystallization temperature;tc
sem;scanning electron microscopy;fib;focused ion beam
scanning electron microscopy;sem;focused ion beam;fib
sem;scanning electron microscopy;ea;activation energy
scanning electron microscopy;sem;activation energy;ea
sem;scanning electron microscopy;ip;ionization potential
scanning electron microscopy;sem;ionization potential;ip
sem;scanning electron microscopy;icp;inductively coupled plasma
scanning electron microscopy;sem;inductively coupled plasma;icp
sem;scanning electron microscopy;oes;optical emission spectroscopy
scanning electron microscopy;sem;optical emission spectroscopy;oes
sem;scanning electron microscopy;xrf;x-ray fluorescence
scanning electron microscopy;sem;x-ray fluorescence;xrf
sem;scanning electron microscopy;epma;electron probe microanalysis
scanning electron microscopy;sem;electron probe microanalysis;epma
tem;transmission electron microscopy;nlc;nematic liquid crystal
transmission electron microscopy;tem;nematic liquid crystal;nlc
tem;transmission electron microscopy;clc;cholesteric liquid crystal
transmission electron microscopy;tem;cholesteric liquid crystal;clc
tem;transmission electron microscopy;ms;mass spectroscopy
transmission electron microscopy;tem;mass spectroscopy;ms
tem;transmission electron microscopy;dft;density functional theory
transmission electron microscopy;tem;density functional theory;dft
tem;transmission electron microscopy;kmc;kinetic monte carlo
transmission electron microscopy;tem;kinetic monte carlo;kmc
tem;transmission electron microscopy;gc;gas chromatography
transmission electron microscopy;tem;gas chromatography;gc
tem;transmission electron microscopy;lda;local density approximation
transmission electron microscopy;tem;local density approximation;lda
tem;transmission electron microscopy;gga;generalized gradient approximation
transmission electron microscopy;tem;generalized gradient approximation;gga
tem;transmission electron microscopy;md;molecular dynamics
transmission electron microscopy;tem;molecular dynamics;md
tem;transmission electron microscopy;sls;static light scattering
transmission electron microscopy;tem;static light scattering;sls
tem;transmission electron microscopy;dls;dynamic light scattering
transmission electron microscopy;tem;dynamic light scattering;dls
tem;transmission electron microscopy;xps;x-ray photoelectron spectroscopy
transmission electron microscopy;tem;x-ray photoelectron spectroscopy;xps
tem;transmission electron microscopy;edx;energy dispersive x-ray spectroscopy
transmission electron microscopy;tem;energy dispersive x-ray spectroscopy;edx
tem;transmission electron microscopy;saxs;small-angle x-ray scattering
transmission electron microscopy;tem;small-angle x-ray scattering;saxs
tem;transmission electron microscopy;waxs;wide-angle x-ray scattering
transmission electron microscopy;tem;wide-angle x-ray scattering;waxs
tem;transmission electron microscopy;waxd;wide-angle x-ray diffraction
transmission electron microscopy;tem;wide-angle x-ray diffraction;waxd
tem;transmission electron microscopy;xrd;x-ray diffraction
transmission electron microscopy;tem;x-ray diffraction;xrd
tem;transmission electron microscopy;pals;positron annihilation lifetime spectroscopy
transmission electron microscopy;tem;positron annihilation lifetime spectroscopy;pals
tem;transmission electron microscopy;tddft;time-dependent density functional theory
transmission electron microscopy;tem;time-dependent density functional theory;tddft
tem;transmission electron microscopy;hplc;high performance liquid chromatography
transmission electron microscopy;tem;high performance liquid chromatography;hplc
tem;transmission electron microscopy;pdi;polydispersity index
transmission electron microscopy;tem;polydispersity index;pdi
tem;transmission electron microscopy;tg;glass transition temperature
transmission electron microscopy;tem;glass transition temperature;tg
tem;transmission electron microscopy;tm;melting temperature
transmission electron microscopy;tem;melting temperature;tm
tem;transmission electron microscopy;tc;crystallization temperature
transmission electron microscopy;tem;crystallization temperature;tc
tem;transmission electron microscopy;fib;focused ion beam
transmission electron microscopy;tem;focused ion beam;fib
tem;transmission electron microscopy;ea;activation energy
transmission electron microscopy;tem;activation energy;ea
tem;transmission electron microscopy;ip;ionization potential
transmission electron microscopy;tem;ionization potential;ip
tem;transmission electron microscopy;icp;inductively coupled plasma
transmission electron microscopy;tem;inductively coupled plasma;icp
tem;transmission electron microscopy;oes;optical emission spectroscopy
transmission electron microscopy;tem;optical emission spectroscopy;oes
tem;transmission electron microscopy;xrf;x-ray fluorescence
transmission electron microscopy;tem;x-ray fluorescence;xrf
tem;transmission electron microscopy;epma;electron probe microanalysis
transmission electron microscopy;tem;electron probe microanalysis;epma
nlc;nematic liquid crystal;clc;cholesteric liquid crystal
nematic liquid crystal;nlc;cholesteric liquid crystal;clc
nlc;nematic liquid crystal;ms;mass spectroscopy
nematic liquid crystal;nlc;mass spectroscopy;ms
nlc;nematic liquid crystal;dft;density functional theory
nematic liquid crystal;nlc;density functional theory;dft
nlc;nematic liquid crystal;kmc;kinetic monte carlo
nematic liquid crystal;nlc;kinetic monte carlo;kmc
nlc;nematic liquid crystal;gc;gas chromatography
nematic liquid crystal;nlc;gas chromatography;gc
nlc;nematic liquid crystal;lda;local density approximation
nematic liquid crystal;nlc;local density approximation;lda
nlc;nematic liquid crystal;gga;generalized gradient approximation
nematic liquid crystal;nlc;generalized gradient approximation;gga
nlc;nematic liquid crystal;md;molecular dynamics
nematic liquid crystal;nlc;molecular dynamics;md
nlc;nematic liquid crystal;sls;static light scattering
nematic liquid crystal;nlc;static light scattering;sls
nlc;nematic liquid crystal;dls;dynamic light scattering
nematic liquid crystal;nlc;dynamic light scattering;dls
nlc;nematic liquid crystal;xps;x-ray photoelectron spectroscopy
nematic liquid crystal;nlc;x-ray photoelectron spectroscopy;xps
nlc;nematic liquid crystal;edx;energy dispersive x-ray spectroscopy
nematic liquid crystal;nlc;energy dispersive x-ray spectroscopy;edx
nlc;nematic liquid crystal;saxs;small-angle x-ray scattering
nematic liquid crystal;nlc;small-angle x-ray scattering;saxs
nlc;nematic liquid crystal;waxs;wide-angle x-ray scattering
nematic liquid crystal;nlc;wide-angle x-ray scattering;waxs
nlc;nematic liquid crystal;waxd;wide-angle x-ray diffraction
nematic liquid crystal;nlc;wide-angle x-ray diffraction;waxd
nlc;nematic liquid crystal;xrd;x-ray diffraction
nematic liquid crystal;nlc;x-ray diffraction;xrd
nlc;nematic liquid crystal;pals;positron annihilation lifetime spectroscopy
nematic liquid crystal;nlc;positron annihilation lifetime spectroscopy;pals
nlc;nematic liquid crystal;tddft;time-dependent density functional theory
nematic liquid crystal;nlc;time-dependent density functional theory;tddft
nlc;nematic liquid crystal;hplc;high performance liquid chromatography
nematic liquid crystal;nlc;high performance liquid chromatography;hplc
nlc;nematic liquid crystal;pdi;polydispersity index
nematic liquid crystal;nlc;polydispersity index;pdi
nlc;nematic liquid crystal;tg;glass transition temperature
nematic liquid crystal;nlc;glass transition temperature;tg
nlc;nematic liquid crystal;tm;melting temperature
nematic liquid crystal;nlc;melting temperature;tm
nlc;nematic liquid crystal;tc;crystallization temperature
nematic liquid crystal;nlc;crystallization temperature;tc
nlc;nematic liquid crystal;fib;focused ion beam
nematic liquid crystal;nlc;focused ion beam;fib
nlc;nematic liquid crystal;ea;activation energy
nematic liquid crystal;nlc;activation energy;ea
nlc;nematic liquid crystal;ip;ionization potential
nematic liquid crystal;nlc;ionization potential;ip
nlc;nematic liquid crystal;icp;inductively coupled plasma
nematic liquid crystal;nlc;inductively coupled plasma;icp
nlc;nematic liquid crystal;oes;optical emission spectroscopy
nematic liquid crystal;nlc;optical emission spectroscopy;oes
nlc;nematic liquid crystal;xrf;x-ray fluorescence
nematic liquid crystal;nlc;x-ray fluorescence;xrf
nlc;nematic liquid crystal;epma;electron probe microanalysis
nematic liquid crystal;nlc;electron probe microanalysis;epma
clc;cholesteric liquid crystal;ms;mass spectroscopy
cholesteric liquid crystal;clc;mass spectroscopy;ms
clc;cholesteric liquid crystal;dft;density functional theory
cholesteric liquid crystal;clc;density functional theory;dft
clc;cholesteric liquid crystal;kmc;kinetic monte carlo
cholesteric liquid crystal;clc;kinetic monte carlo;kmc
clc;cholesteric liquid crystal;gc;gas chromatography
cholesteric liquid crystal;clc;gas chromatography;gc
clc;cholesteric liquid crystal;lda;local density approximation
cholesteric liquid crystal;clc;local density approximation;lda
clc;cholesteric liquid crystal;gga;generalized gradient approximation
cholesteric liquid crystal;clc;generalized gradient approximation;gga
clc;cholesteric liquid crystal;md;molecular dynamics
cholesteric liquid crystal;clc;molecular dynamics;md
clc;cholesteric liquid crystal;sls;static light scattering
cholesteric liquid crystal;clc;static light scattering;sls
clc;cholesteric liquid crystal;dls;dynamic light scattering
cholesteric liquid crystal;clc;dynamic light scattering;dls
clc;cholesteric liquid crystal;xps;x-ray photoelectron spectroscopy
cholesteric liquid crystal;clc;x-ray photoelectron spectroscopy;xps
clc;cholesteric liquid crystal;edx;energy dispersive x-ray spectroscopy
cholesteric liquid crystal;clc;energy dispersive x-ray spectroscopy;edx
clc;cholesteric liquid crystal;saxs;small-angle x-ray scattering
cholesteric liquid crystal;clc;small-angle x-ray scattering;saxs
clc;cholesteric liquid crystal;waxs;wide-angle x-ray scattering
cholesteric liquid crystal;clc;wide-angle x-ray scattering;waxs
clc;cholesteric liquid crystal;waxd;wide-angle x-ray diffraction
cholesteric liquid crystal;clc;wide-angle x-ray diffraction;waxd
clc;cholesteric liquid crystal;xrd;x-ray diffraction
cholesteric liquid crystal;clc;x-ray diffraction;xrd
clc;cholesteric liquid crystal;pals;positron annihilation lifetime spectroscopy
cholesteric liquid crystal;clc;positron annihilation lifetime spectroscopy;pals
clc;cholesteric liquid crystal;tddft;time-dependent density functional theory
