Col_1,Col_2
polystyrene,ps
polyethylene,PE
polyethylene,pe
polystyrene,ps
polyacrylonitrile,PAN
polyisobutylene,PIB
poly(ether ether ketone),PEEK
poly(vinyl alcohol),PVA
poly(vinyl acetate),PVAc
poly(methyl methacrylate),PMMA
polydimethylsiloxane,PDMS
poly(dimethylsiloxane),PDMS
polycarbonate,PC
low density polyethylene,LDPE
low-density polyethylene,LDPE
high density polyethylene,HDPE
high-density polyethylene,HDPE
polypropylene,PP
polypropylene,pp
polytetrafluoroethylene,PTFE
poly(tetrafluoroethylene),PTFE
poly(vinyl chloride),PVC
polyvinyl chloride,PVC
poly(ethyl methacrylate),PEMA
poly(butyl methacrylate),PBMA
poly(butyl acrylate),PBA
poly(methyl acrylate),PMA
poly(acrylic acid),PAA
poly(vinyl methyl ether),PVME
polyvinylpyrrolidone,PVP
poly(vinylpyrrolidone),PVP
poly(vinyl fluoride),PVF
polyvinylidene fluoride,PVDF
polyvinylidene chloride,PVDC
poly(vinylidene fluoride),PVDF
poly(vinylidene chloride),PVDC
polyethylene terephthalate,PET
poly(ethylene terephthalate),PET
polyphenylene sulfide,PPS
poly(phenylene sulfide),PPS
polyethylene naphthalate,PEN
poly(ethylene naphthalate),PEN
polynorbornene,PNB
poly(trimethylene terephthalate),PTT
poly(lactic acid),PLA
polyamide 6,PA6
bisphenol A,BPA
poly(ether imide),PEI
poly(ethyleneimine),PEI
poly(4-methyl-1-pentene),PMP
polymethylsilane,PMS
polychlorotrifluoroethylene,PCTFE
polyethylene oxide,PEO
"poly(2,6‐dimethyl‐1,4‐phenylene ether)",PPE
poly(ether sulfone),PES
poly(vinyl butyral),PVB
poly(2-methacryloyloxyethyl phosphorylcholine),PMPC
