Col_1,Col_2
polyethylene,polyolefins
polypropylene,polyolefins
polybutylene,polyolefins
polyacrolein,polyvinyls
polybutadiene,polydienes
poly(vinyl alcohol),polyvinyls
poly(maleic anhydride),polyanhydrides
poly(vinylidene fluoride),polyhalo-olefins
polychlorotrifluoroethylene,polyhalo-olefins
nylon 6,polyamides
"Nylon 6,6",polyamides
poly(methyl methacrylate),polyacrylics
polynorbornene,polydienes
poly(vinyl acetate),polyvinyls
poly(indene),polydienes
poly(vinyl alcohol),polyvinyls
poly(furfuryl methacrylate),polyacrylics
poly(ether ether ketone),polyketones
poly(p-dioxanone),polyketones
"poly(ethylene 2,6-naphthalate)",polyesters
poly(butylene terephthalate),polyesters
poly(fluorene),polydienes
cellulose,polyethers
poly(glycolic acid),polyesters
poly(lactic acid),polyesters
poly(ether sulfone),polysulfones
poly(bisphenol A carbonate),polycarbonates
poly(ethyleneimine),polyimines
poly(p-xylene),polyphenylenes
poly(thiophene),polysulfides
poly(propylene carbonate),polycarbonates
polyhistidine,polyamides
poly(trimethylene carbonate),polycarbonates
poly(o-anisidine),polyimines
polyborazine,polyimines
polyaniline,polyimines
polycarbazole,polyimines
polyindole,polyimines
poly(diphenylsiloxane),polysiloxanes
poly(phenylsilane),polysilanes
poly(methylsiloxane),polysiloxanes
polypyrrole,polyimines
poly(ethylene carbonate),polycarbonates
poly(phenol),polyphenylenes
poly(methyl crotonate),polyvinyls
poly(vinyl cinnamate),polyvinyls
poly(adipic anhydride),polyanhydrides
poly(sebacic anhydride),polyanhydrides
poly(acrylic anhydride),polyanhydrides
