Col_1,Col_2
polystyrene,styrene
polyethylene,ethylene
polyethylene,1-octene
polyacrylonitrile,acrylonitrile
polyisobutylene,isobutylene
poly(ether ether ketone)," 4,4'-difluorobenzophenone"
poly(vinyl acetate),vinyl acetate
poly(methyl methacrylate),methyl methacrylate 
poly(dimethylsiloxane),dimethyldichlorosilane 
polycarbonate,bisphenol A
polypropylene,propylene
polytetrafluoroethylene,tetrafluoroethylene
poly(vinyl chloride),vinyl chloride
poly(ethyl methacrylate),ethyl methacrylate
poly(butyl methacrylate),butyl methacrylate
poly(butyl acrylate),butyl acrylate
poly(methyl acrylate),methyl acrylate
poly(acrylic acid),acrylic acid
poly(vinyl methyl ether),methyl vinyl ether
polyvinylpyrrolidone,N-vinylpyrrolidone
polyvinyl_pyrrolidone,N-vinylpyrrolidone
poly(vinyl_pyrrolidone),N-vinylpyrrolidone
poly(vinyl fluoride),vinyl fluoride
polyvinylidene fluoride,vinylidene difluoride
polyvinylidene chloride,vinylidene chloride
poly(vinylidene fluoride),vinylidene difluoride
poly(vinylidene chloride),vinylidene chloride
polyethylene terephthalate,bis(2-hydroxyethyl) terephthalate
poly(ethylene terephthalate),bis(2-hydroxyethyl) terephthalate
polynorbornene,norbornene
poly(trimethylene terephthalate),"1,3-propanediol"
poly(trimethylene terephthalate),terephthalic acid
poly(lactic acid),lactic acid
polyamide 6,caprolactam
polychlorotrifluoroethylene,chlorotrifluoroethylene
poly(ethylene oxide),ethylene oxide
poly(2-methacryloyloxyethyl phosphorylcholine),2-(methacryloyloxy)ethyl_phosphorylcholine
